,Date,Open,High,Low,Close,Volume,MACD,RSI,ATR,MFI,CPI,USDX,IR,TB,EFFR,RMT,Score
15,8/8/2016,1764.72,1766.14,1675.91,1675.91,1162571,-22.71571484,19.70335412,33.5992534,34.65601169,115.7,107.0765,8.6,0.44,0.82,51.94,0.0755
16,8/9/2016,1675.92,1760.42,1675.92,1760.42,310877,-19.06190703,45.37232078,37.2357353,32.67476342,115.7,107.0765,8.6,0.44,0.82,51.94,0.186
17,8/10/2016,1760.42,1789.45,1741.03,1779.57,3585860,-17.50964271,49.58608283,38.03461135,34.79141624,115.7,107.0765,8.6,0.44,0.82,51.94,0.255211111
18,8/11/2016,1779.57,1788.98,1768.03,1774.87,3544784,-15.71901234,48.5260742,36.81428197,34.8662091,115.7,107.0765,8.6,0.44,0.82,51.94,0.3023125
19,8/14/2016,1774.87,1775.03,1730.95,1733.93,2181289,-10.87109382,39.94388979,37.33326183,28.89365429,115.7,107.0765,8.6,0.44,0.82,51.94,0.35939
20,8/15/2016,1733.93,1735.51,1685.26,1694.81,2417205,-3.828296194,33.42601262,38.25588598,21.14889938,115.7,107.0765,8.6,0.44,0.82,51.94,0.12052
21,8/16/2016,1694.81,1718,1681.67,1717.45,2038914,-0.072847381,39.96738077,38.1183227,14.95813136,115.7,107.0765,8.6,0.44,0.82,51.94,0.34593
22,8/17/2016,1717.45,1742.16,1716.47,1734.93,1697912,1.475870034,44.79931897,37.23058536,20.06404255,115.7,107.0765,8.6,0.44,0.82,51.94,0.13738
23,8/21/2016,1734.93,1744.84,1719.78,1722.43,1031566,3.66958459,42.00936712,36.36125784,25.36427295,115.7,107.0765,7.9,2.05,2.56,114.74,0.1836
24,8/22/2016,1722.43,1725.97,1683.12,1683.12,1190431,8.482328649,34.26600297,36.82473942,27.44776793,115.7,107.0765,7.9,2.05,2.56,114.74,0.202071429
25,8/23/2016,1683.12,1704.71,1674.85,1681.86,1452250,12.25684518,34.03399024,36.32725803,31.32864964,115.7,107.0765,7.9,2.05,2.56,114.74,0.1365125
26,8/24/2016,1694.18,1731.07,1694.18,1730.62,1113165,11.18472171,49.34792179,37.24745389,38.63088989,115.7,107.0765,7.9,2.05,2.56,114.74,0.376366667
27,8/28/2016,1730.62,1758.9,1730.48,1748.23,1315647,8.812491404,53.81582018,36.61692147,44.94211174,115.7,107.0765,7.9,2.05,2.56,114.74,0.223685714
28,8/29/2016,1748.23,1767.6,1747.71,1766.54,2957608,5.392852369,58.23549441,35.42214136,52.8749691,115.7,107.0765,7.9,2.05,2.56,114.74,0.10705
29,8/30/2016,1766.54,1790.15,1766.07,1788.08,1897082,0.933900392,63.03692229,34.61198841,62.70449589,115.7,107.0765,7.9,2.05,2.56,114.74,0.102966667
30,8/31/2016,1788.08,1799.39,1781.43,1797.45,1759379,-3.317687629,65.05347185,33.42256067,63.82225737,115.7,107.0765,7.9,2.05,2.56,114.74,0.27922
31,9/1/2016,1797.49,1806.07,1797.49,1805.18,1799511,-7.227533655,66.77869499,31.65094919,65.74552123,115.5,106.8387,7.9,2.05,2.56,114.74,0.1581
32,9/4/2016,1805.18,1821.71,1804.87,1819.83,2115174,-11.37709925,70.01568532,30.59302425,63.44002704,115.5,106.8387,7.9,2.05,2.56,114.74,0.31054
33,9/5/2016,1819.83,1840.73,1819.5,1838.9,2246313,-16.01978341,73.84361083,29.9242368,75.81602002,115.5,106.8387,7.9,2.05,2.56,114.74,0.31584
34,9/6/2016,1838.9,1854.68,1818.36,1834.8,2260943,-19.14758686,71.57676245,30.38107703,84.65482072,115.5,106.8387,7.9,2.05,2.56,114.74,0.11974
35,9/7/2016,1834.8,1838.83,1818.67,1824.83,2931984,-20.58461136,65.90056019,29.6510001,75.2257127,115.5,106.8387,7.9,2.05,2.56,114.74,0.170544444
36,9/8/2016,1824.83,1829.27,1816.98,1823.05,2143546,-21.33390849,64.8412817,28.41092866,64.55699458,115.5,106.8387,7.9,2.05,2.56,114.74,0.250566667
37,9/11/2016,1823.05,1829.2,1815.61,1816.81,1851191,-21.18006541,60.88280413,27.3522909,63.22171967,115.5,106.8387,7.9,2.05,2.56,114.74,0.22436
38,9/12/2016,1816.81,1819.95,1809.31,1818.69,2902255,-20.96813632,61.69571902,26.15855584,61.14974672,115.5,106.8387,7.9,2.05,2.56,114.74,0.16085
39,9/14/2016,1818.69,1821.9,1813.27,1815.17,1664283,-20.28234417,59.04482758,24.90651613,67.50507294,115.5,106.8387,7.9,2.05,2.56,114.74,0.3954
40,9/18/2016,1815.17,1818.7,1801.02,1804.48,2491604,-18.66114127,51.31817995,24.39033641,62.07321313,115.5,106.8387,6.7,2.12,3.27,171.8,0.302233333
41,9/20/2016,1804.48,1807.62,1785,1786.5,1615417,-15.74400349,40.92482101,24.26388381,55.64930049,115.5,106.8387,6.7,2.12,3.27,171.8,0.4372
42,9/21/2016,1786.5,1788.34,1765.09,1779.13,2219402,-12.6911576,37.34739468,24.19146354,50.90311275,115.5,106.8387,6.7,2.12,3.27,171.8,0.2602
